;restaurant_id;name;num_people;date;time;phone
0;ChIJK4PtjPun_UYRRYuECz2jxWk;Zachary Miller;4;2025-02-10;18:30;862.539.9669
1;ChIJvybH-5IK_UYRfeQa5nqUcfA;Colton Lloyd;1;2025-02-23;10:45;267.243.8774x0120
2;ChIJR_4eirUL_UYRCEVs1GUPXdY;Mark Brown;3;2025-03-22;16:15;347-578-1534x717
3;ChIJoypSPaFz_UYRe_809t6YJOQ;Monica Geller;7;2025-03-27;15:30;731.479.8479x4270
4;ChIJOwSt0BCn_UYRaX4pwWzfdTE;Alexandra Jones;10;2025-03-24;17:15;001-210-716-5422x55059
5;ChIJYQc7flp1_UYRlAGsWHS4T44;Joseph Crawford;1;2025-03-21;13:30;(935)248-2230x94817
6;ChIJA-80xCCl_UYRO3nCtq476W4;Samuel Long;5;2025-03-05;20:45;(500)234-2382x9052
7;ChIJUQB_Faah_UYRGVSBuYdIMgY;Leah Davis;8;2025-03-19;15:15;946-793-9222x5231
8;ChIJk6rtQKR1_UYRRDZJz_pc7iY;Paul Brown;1;2025-02-28;11:00;203.482.7824
9;ChIJiUFLSV11_UYRNSX1hpA-HWY;Kathy Rivera;8;2025-02-05;15:30;264-794-2525x7855
10;ChIJV_e3zJ9z_UYRpYzNYZjZjFU;Bradley Reynolds;1;2025-02-09;14:45;941.309.9589x7167
11;ChIJl4jAawB1_UYRQV2kunhGEZs;Sarah Conway;5;2025-02-26;18:30;965.360.1114
12;ChIJk5aFr5UK_UYRgzWXf2Xn1tw;Taylor Weiss;9;2025-03-09;11:45;244.478.8313
13;ChIJbVK7kiSn_UYRIv2xNPTcNO8;Rachel Green;4;2025-03-27;20:30;659-973-6490
14;ChIJCbpmK1V1_UYReOcvIWIzvSU;Michael Chavez;1;2025-02-02;19:45;+1-871-393-8779x847
15;ChIJSa3R0_1z_UYR226xgjKdlU0;Dorothy Decker;9;2025-02-02;14:00;(601)925-5816
16;ChIJI4fVJ9cK_UYRFFPbdBi5YMQ;Matthew Wade;7;2025-02-10;14:15;(574)685-8007
17;ChIJh3IqNQ91_UYRonYLCCXI_YQ;Monica Geller;4;2025-02-10;15:45;321.385.7411x42719
18;ChIJ8R1cEg11_UYRDv9UPvUhLCQ;Leah Davis;6;2025-03-10;20:00;928-892-0731x7248
19;ChIJT5I4NpMK_UYRgrylszzJjtc;Laura Wright;10;2025-03-16;18:45;687-758-1755x3076
20;ChIJ49xztIAL_UYRhqH2PRMJqjc;April Pena;2;2025-02-19;12:15;(690)708-2673
21;ChIJsc4Fu2Wn_UYR3TgoG1K1Da0;Diamond Mitchell;6;2025-03-09;15:15;+1-933-714-6290x6216
22;ChIJ51JwIoF1_UYRWGO9QVnTFrQ;Leah Davis;5;2025-03-17;18:00;278-878-6792x69463
23;ChIJSUH9wpWg_UYRaFSxKt3BDFE;James Roberts;5;2025-02-17;11:15;+1-914-508-0929
24;ChIJacEg4I0K_UYRsiFqEaoSiI0;Rebecca Taylor;10;2025-03-11;20:00;+1-296-972-6537x13064
25;ChIJG-V7VSSn_UYRU9lNRyeMaKs;Joseph Crawford;7;2025-03-13;10:45;513-956-8816x366
26;ChIJu6picjmn_UYR413GLvRgtes;Dorothy Decker;1;2025-03-15;16:30;599.493.1592
27;ChIJ90grTyOn_UYRYV0USPJmPq4;Taylor Weiss;7;2025-03-21;16:45;+1-362-973-6301x66419
28;ChIJiz-Xp59z_UYRaY09KwqtzMs;Leah Davis;9;2025-03-08;15:15;700.850.6356
29;ChIJ4adcXmyn_UYRF8HwVIPrnHE;Christina Bryan;5;2025-03-03;11:30;+1-324-348-4567x02082
30;ChIJi3xO5pEK_UYRi7WRTEcz268;Frank Quinn;4;2025-02-13;17:45;794-438-6692x6376
31;ChIJe60-YKgL_UYR0ex0DT-yueU;Christina Rodgers;1;2025-03-09;10:15;962.224.4884
32;ChIJvW-Ek8B1_UYR6pN6y7EJQ4M;Joseph Dennis;2;2025-03-21;14:45;390.603.5130x4255
33;ChIJf3VHdkhz_UYRb85uLPt9Avg;Sarah Conway;6;2025-02-22;14:30;203-858-1471x529
34;ChIJ85Ne-5AK_UYRiexo_-nnSh8;Mark Brown;4;2025-03-18;20:15;744-225-5969x677
35;ChIJ07w_7sZ1_UYRJhfK1gDFuW4;Kevin Ross;6;2025-03-24;12:45;7314213587
36;ChIJK1KiT6sL_UYRg69JJLPhIwk;Mark Morton;10;2025-03-28;13:30;(962)452-3683x33246
37;ChIJQwLtSyEL_UYRu_qtN6mrhiE;Kaitlin Hall;10;2025-03-05;13:15;001-792-221-9668x1050
38;ChIJRyAgoJlz_UYRCCuTl6jvQlQ;Michael Anthony;7;2025-02-23;11:00;6318090319
39;ChIJ60zWk9un_UYRS9zs1wDjUkw;Bruce Young;7;2025-02-15;15:45;7148452351
40;ChIJkZ194oOn_UYR6kT5tDaIlP4;Mark Morton;4;2025-02-25;17:00;915.519.2913
41;ChIJwzKEOpUK_UYRM1QDyu-wtc8;Mark Morton;4;2025-02-10;12:00;001-204-254-3052x39819
42;ChIJtVrtnoGn_UYRkmgGJQV3vZQ;Christina Bryan;2;2025-02-10;10:15;001-801-954-7635x20410
43;ChIJh9tHDDCn_UYRSfQJFO84Wlw;Jacob Harris;4;2025-02-03;18:00;967-814-4976
44;ChIJ9e911dVz_UYR575GHjN4QhY;James Roberts;2;2025-03-15;10:00;+1-531-980-1378
45;ChIJyZSvMdBz_UYRnZsvtcO4CGE;Frank Quinn;1;2025-03-08;13:15;(461)746-5687
46;ChIJaS4rPySn_UYRI4_f33uOaoo;Kaitlin Hall;3;2025-02-12;19:45;391-475-7584x1657
47;ChIJbfT5r5QL_UYRh5rSdIdlrbQ;Victoria Kent;1;2025-02-09;20:00;(672)399-9180
48;ChIJSzoKvw8L_UYREPKj1GKdrbo;Gregory Khan;2;2025-02-11;18:45;001-546-510-8127x67063
49;ChIJR21-Y0oL_UYRnct9zfFMH9Y;Alison Jackson;10;2025-03-17;11:30;7504383808
